cid,hazard_key,display_name,compound_url,candidate_index,candidate_url,candidate_source,likely_sds
784,H2O2,Väteperoxid (H2O2),https://pubchem.ncbi.nlm.nih.gov/compound/784,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
784,H2O2,Väteperoxid (H2O2),https://pubchem.ncbi.nlm.nih.gov/compound/784,1,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
784,H2O2,Väteperoxid (H2O2),https://pubchem.ncbi.nlm.nih.gov/compound/784,2,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
784,H2O2,Väteperoxid (H2O2),https://pubchem.ncbi.nlm.nih.gov/compound/784,3,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1015.pdf,safety,false
784,H2O2,Väteperoxid (H2O2),https://pubchem.ncbi.nlm.nih.gov/compound/784,4,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
784,H2O2,Väteperoxid (H2O2),https://pubchem.ncbi.nlm.nih.gov/compound/784,5,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
807,I2,Jod (I2),https://pubchem.ncbi.nlm.nih.gov/compound/807,0,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
807,I2,Jod (I2),https://pubchem.ncbi.nlm.nih.gov/compound/807,1,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1026.pdf,safety,false
807,I2,Jod (I2),https://pubchem.ncbi.nlm.nih.gov/compound/807,2,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
807,I2,Jod (I2),https://pubchem.ncbi.nlm.nih.gov/compound/807,3,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
887,CH4O,Metanol,https://pubchem.ncbi.nlm.nih.gov/compound/887,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
887,CH4O,Metanol,https://pubchem.ncbi.nlm.nih.gov/compound/887,1,https://www.epa.gov/sites/default/files/2016-09/documents/methanol.pdf,safety,false
887,CH4O,Metanol,https://pubchem.ncbi.nlm.nih.gov/compound/887,2,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
887,CH4O,Metanol,https://pubchem.ncbi.nlm.nih.gov/compound/887,3,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
887,CH4O,Metanol,https://pubchem.ncbi.nlm.nih.gov/compound/887,4,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1222.pdf,safety,false
887,CH4O,Metanol,https://pubchem.ncbi.nlm.nih.gov/compound/887,5,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
887,CH4O,Metanol,https://pubchem.ncbi.nlm.nih.gov/compound/887,6,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
935,Ni,Nickel,https://pubchem.ncbi.nlm.nih.gov/compound/935,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
935,Ni,Nickel,https://pubchem.ncbi.nlm.nih.gov/compound/935,1,https://www.epa.gov/sites/default/files/2016-09/documents/nickle-compounds.pdf,safety,false
935,Ni,Nickel,https://pubchem.ncbi.nlm.nih.gov/compound/935,2,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
935,Ni,Nickel,https://pubchem.ncbi.nlm.nih.gov/compound/935,3,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
935,Ni,Nickel,https://pubchem.ncbi.nlm.nih.gov/compound/935,4,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1341.pdf,safety,false
935,Ni,Nickel,https://pubchem.ncbi.nlm.nih.gov/compound/935,5,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
935,Ni,Nickel,https://pubchem.ncbi.nlm.nih.gov/compound/935,6,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
944,HNO3,Salpetersyra (HNO3),https://pubchem.ncbi.nlm.nih.gov/compound/944,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
944,HNO3,Salpetersyra (HNO3),https://pubchem.ncbi.nlm.nih.gov/compound/944,1,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
944,HNO3,Salpetersyra (HNO3),https://pubchem.ncbi.nlm.nih.gov/compound/944,2,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
944,HNO3,Salpetersyra (HNO3),https://pubchem.ncbi.nlm.nih.gov/compound/944,3,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1356.pdf,safety,false
